,nouns,animal
2069,embryo,0.0005013435147702694
4822,puppy,0.00049456866690889
6359,turkey,0.0004924922832287848
1780,digger,0.0004913012380711734
3346,kitten,0.0004871003038715571
140,alien,0.00048185649211518466
2795,hand,0.0004809369274880737
195,angel,0.0004796177672687918
2274,fang,0.0004764675977639854
2850,head,0.00047491517034359276
5137,rock,0.00047439755871891975
5963,swan,0.00047365433420054615
3902,monitor,0.0004721987061202526
2280,farmer,0.0004716581606771797
4073,nose,0.00046418418060056865
1316,condor,0.00046074914280325174
2103,engine,0.0004557602806016803
2764,gun,0.0004521799273788929
3763,member,0.00045215405407361686
5750,stallion,0.00043398301932029426
1008,character,0.0004334451223257929
4406,penis,0.00042746972758322954
1939,driver,0.0004257347609382123
6030,tank,0.0004173914494458586
1540,crow,0.00041303414036519825
1472,cowboy,0.0004112057504244149
3650,mammoth,0.0004081075021531433
900,carp,0.0004067423287779093
797,bush,0.00039854724309407175
625,body,0.0003976256703026593
6557,vulture,0.0003903705801349133
387,baby,0.0003872677043545991
54,actor,0.00038339136517606676
3053,idiot,0.0003813150979112834
338,atheist,0.0003794921503867954
3947,mountain,0.0003793416253756732
4377,pea,0.0003779066901188344
279,arm,0.0003768539463635534
5452,shovel,0.00037598112248815596
5655,sparrow,0.00037304882425814867
2981,house,0.0003680818772409111
2034,egg,0.00036768874269910157
4651,pound,0.00035060770460404456
6134,thief,0.00034917390439659357
3006,hunt,0.0003480888553895056
1220,collar,0.0003457505954429507
3550,locomotive,0.0003333323111291975
5287,scout,0.000329893606249243
4596,policeman,0.0003298221854493022
5243,savage,0.0003259058285038918
4371,paw,0.0003245586412958801
2114,entity,0.0003144567599520087
262,aquarium,0.00031314449734054506
2263,fairy,0.00030633393907919526
821,cactus,0.000305868627037853
1187,coat,0.00030480578425340354
3434,leash,0.00030381412943825126
1976,dwarf,0.00030017824610695243
5113,rifle,0.0002981424913741648
6290,trap,0.00029633735539391637
4249,pack,0.00029044138500466943
2861,heart,0.0002885025751311332
3620,magnet,0.00028287171153351665
3344,kite,0.00028278783429414034
3401,lark,0.00028209155425429344
3554,log,0.0002804344112519175
1535,cross,0.0002794359461404383
187,anarchist,0.0002754654560703784
5804,stick,0.00027539272559806705
6258,tractor,0.00027497726841829717
2573,gastropod,0.0002746715326793492
6505,victim,0.00027448314358480275
4645,potato,0.00027388331363908947
434,banjo,0.0002735366579145193
752,brush,0.00027246918762102723
3426,leader,0.0002696397132240236
512,bee,0.00026533176423981786
3442,leg,0.0002652286784723401
635,bone,0.00026381207862868905
806,butterfly,0.0002628397196531296
3429,leaf,0.0002621533058118075
3936,moth,0.00025881375768221915
986,chair,0.0002566023322287947
906,carrier,0.0002557749394327402
6748,wren,0.00025481812190264463
557,bike,0.00025220270617865026
3642,male,0.0002518022956792265
5600,soldier,0.00025158317293971777
2613,giant,0.00025052562705241144
642,book,0.00025042708148248494
4418,perch,0.00024988208315335214
6656,wheel,0.00024924494209699333
5690,spine,0.00024848736939020455
6230,tornado,0.00024729871074669063
6136,thing,0.0002469948958605528
2273,fan,0.00024348688020836562
3529,litter,0.00023913303448352963
1555,cub,0.00023819744819775224
749,browser,0.00023703131591901183
303,artist,0.00023624270397704095
4818,pup,0.00023590905766468495
3532,livestock,0.000235317085753195
626,bog,0.00023493780463468283
4189,organ,0.00023461692035198212
684,box,0.00023249971854966134
2413,flower,0.00022955324675422162
6445,van,0.0002294718287885189
5150,rooster,0.0002287001843797043
474,bass,0.00022204242122825235
166,amazon,0.00022168917348608375
2052,elf,0.00022005334903951734
206,ankle,0.0002192734245909378
5747,stake,0.00021662366634700447
850,can,0.00021630596893373877
803,butcher,0.00021304305118974298
1947,drum,0.00021210202248767018
455,barn,0.00020951131591573358
1753,diagram,0.0002090338384732604
6584,warden,0.0002085450105369091
2420,fly,0.00020715351274702698
5278,scientist,0.00020299098105169833
3328,killer,0.0002023572160396725
496,bean,0.00020177254918962717
2250,face,0.00020147334726061672
2019,edible,0.0002006563008762896
3579,lover,0.00019988107669632882
2953,hook,0.0001975193154066801
2634,glider,0.00019694272486958653
578,bit,0.00019686385348904878
4209,outfielder,0.00019517654436640441
6220,tooth,0.00019467927631922066
6254,track,0.00019355464610271156
907,carrot,0.00019310099014546722
3271,jockey,0.00019285493181087077
1677,defender,0.00019243550195824355
1177,club,0.00019093458831775934
2442,footprint,0.00019055466691497713
2886,helmet,0.00019024110224563628
5250,saw,0.00018804651335813105
696,brain,0.00018666409596335143
2960,horn,0.00018656639440450817
3609,machine,0.0001861016935436055
357,attribute,0.00018516747513785958
4408,penny,0.00018490984803065658
4452,philosopher,0.0001829429529607296
2199,executive,0.0001816502626752481
5134,robin,0.00018023014126811177
3235,island,0.00018004597222898155
6707,witch,0.0001796900323824957
190,ancestor,0.00017904923879541457
4868,racer,0.0001786927314242348
3937,mother,0.0001785547356121242
4223,oval,0.0001778153673512861
2458,forest,0.0001769507653079927
4212,outlaw,0.0001757856662152335
2237,eye,0.00017499984824098647
5930,supernatural,0.00017434419714845717
2272,family,0.00017369960551150143
1318,conductor,0.0001729892537696287
419,ball,0.00017226881755050272
300,article,0.00017125584417954087
4946,receiver,0.00017122890858445317
2120,environment,0.00016900739865377545
3062,illustration,0.00016826152568683028
4867,race,0.00016786259948275983
579,bite,0.00016698427498340607
5193,saddle,0.0001654990774113685
5390,shadow,0.0001654857478570193
4553,player,0.0001637357781874016
2344,figure,0.00016313405649270862
858,cane,0.00016216181393247098
2012,ecosystem,0.0001611643674550578
952,cave,0.0001611405605217442
1137,claw,0.00016103594680316746
901,carpenter,0.00015967132640071213
1049,chick,0.0001589537423569709
3119,infant,0.00015750699094496667
6068,telephone,0.00015598838217556477
5733,squid,0.0001554824411869049
6085,tender,0.00015371294284705073
3252,jar,0.00015285651898011565
1302,computer,0.00015262645320035517
283,armchair,0.00015255433390848339
2747,guard,0.0001525250991107896
685,boxer,0.00015235123282764107
6728,worker,0.00015190640988294035
1718,desert,0.00015177595196291804
3394,lap,0.00015113175322767347
6274,tram,0.0001507405104348436
3885,model,0.00015058403369039297
3543,lobster,0.00015020338469184935
2759,guinea,0.00014994305092841387
4308,parent,0.00014937571540940553
5961,swallow,0.0001492122682975605
940,catcher,0.00014914369967300445
665,bottle,0.00014884422125760466
4896,rake,0.00014815462054684758
3311,keeper,0.0001478398044127971
3790,metaphor,0.00014738320896867663
5898,sucker,0.00014728400856256485
4697,prey,0.00014538828691001981
2017,edge,0.00014515760994981974
2204,exhibit,0.00014468438166659325
47,acre,0.00014449712762143463
3996,native,0.00014380976790562272
4612,pond,0.00014282172196544707
6595,warrior,0.0001426503440598026
1401,cop,0.0001425197988282889
4332,passenger,0.00014243664918467402
4593,pole,0.00014137578546069562
2462,fork,0.00014123994333203882
6218,tool,0.000141192736919038
2943,homosexual,0.00013983575627207756
2711,grass,0.00013930632849223912
6665,whistle,0.00013839126040693372
1522,criminal,0.00013727572513744235
3377,lady,0.0001367575750919059
1616,daisy,0.0001354683336103335
6271,trainer,0.0001350917445961386
3745,meat,0.0001339088485110551
295,arrow,0.00013273287913762033
5837,stranger,0.00013219108222983778
346,attacker,0.00013071818102616817
1877,doll,0.00013051067071501166
3933,mosquito,0.000130433079903014
122,airplane,0.00012979521125089377
2538,furry,0.00012914637045469135
244,appendix,0.00012869366037193686
2906,hide,0.00012867061013821512
2896,hermit,0.00012863943993579596
5648,spade,0.0001278288837056607
3499,limb,0.00012756175419781357
6251,toy,0.00012739101657643914
4524,pitcher,0.00012600861373357475
3322,kick,0.0001245025487150997
2648,gnu,0.00012419807899277657
5819,stomach,0.00012372562196105719
3107,independent,0.00012369044998195022
2180,evolution,0.00012369008618406951
5666,specialist,0.00012291132588870823
5687,spike,0.00012257174239493906
172,ambulance,0.0001224616717081517
5126,river,0.00012233374582137913
472,basket,0.00012228358536958694
3757,medium,0.00012197959586046636
403,bag,0.00012114373384974897
4520,pistol,0.00012084303307347
4083,noun,0.00012022942246403545
592,blanket,0.00011983894364675507
2554,game,0.00011980164708802477
2223,explorer,0.0001196897792397067
4156,onion,0.00011937902309000492
3971,mushroom,0.00011920815450139344
2279,farm,0.0001189915492432192
5726,spur,0.00011858496873173863
2826,harp,0.00011836357589345425
6750,wrestler,0.00011827403795905411
6754,writer,0.00011816590995294973
2492,freak,0.00011809707939391956
2440,football,0.0001174670978798531
2506,friend,0.00011725847434718162
5105,rib,0.00011629437358351424
2384,flag,0.00011551174247870222
5338,self,0.00011541815183591098
102,agent,0.00011521216219989583
377,average,0.00011517415259731933
2106,enigma,0.00011476057989057153
5748,stalk,0.00011420356167946011
2792,hammer,0.00011409938451834023
6677,wild,0.00011393720342312008
6002,table,0.00011359018390066922
1948,drummer,0.0001132644756580703
5660,speaker,0.00011298742174403742
4521,pit,0.00011143395386170596
6202,toilet,0.00011113916843896732
270,archer,0.00011090638872701675
5333,seeker,0.00011040818935725838
5412,shell,0.00011033439659513533
6055,team,0.00010991609451593831
5030,reporter,0.00010953372839139774
6602,wasp,0.00010928716801572591
532,bell,0.000108939508209005
3352,knife,0.0001088409117073752
4581,pod,0.00010849657701328397
1021,chassis,0.00010772183304652572
5879,subject,0.00010682662104954943
1182,coach,0.00010675111116142944
4001,neck,0.00010670342453522608
3221,investigator,0.00010652883793227375
5450,shoulder,0.00010650538024492562
5591,sock,0.00010650121112121269
4929,reader,0.00010635363287292421
5699,split,0.00010559041402302682
5820,stone,0.0001051179351634346
2790,ham,0.00010462122736498713
5706,spoon,0.0001040271163219586
3375,ladder,0.00010369822848588228
1854,diver,0.0001033023145282641
6142,thorn,0.0001029508639476262
5358,sensor,0.00010285856114933267
3721,mate,0.00010232436034129933
3946,mound,0.00010212382767349482
5242,sausage,0.00010141494567506015
2337,field,0.0001013750079437159
5144,roller,0.00010112472955370322
6334,truck,0.00010066316463053226
535,belly,0.0001002795179374516
4583,poem,9.995306754717603e-05
2041,elbow,9.79063770500943e-05
192,android,9.777835657587275e-05
5962,swamp,9.71845438471064e-05
5692,spirit,9.711302118375897e-05
5773,statue,9.70769178820774e-05
4512,pinto,9.682163363322616e-05
5982,sword,9.670900908531621e-05
6461,vegetable,9.661644435254857e-05
6381,type,9.642751683713868e-05
1110,citizen,9.6351039246656e-05
4205,ottoman,9.627713006921113e-05
156,alpha,9.612318535801023e-05
1361,consumer,9.546305955154821e-05
5631,soul,9.517018042970449e-05
509,bed,9.513723489362746e-05
1978,dwelling,9.440619760425761e-05
2767,guy,9.422625589650124e-05
129,album,9.311053872806951e-05
2535,fur,9.275745105696842e-05
5292,scratch,9.24307678360492e-05
4719,prize,9.233579476131126e-05
3294,jungle,9.221962682204321e-05
2140,equivalent,9.186898387270048e-05
4311,park,9.175000741379336e-05
4715,prisoner,9.165822120849043e-05
4402,pendulum,9.160512854577973e-05
4163,operator,9.152600250672549e-05
459,barrel,9.145669173449278e-05
623,bob,9.142777707893401e-05
1533,crook,9.136729204328731e-05
2190,exception,9.103590127779171e-05
189,anatomy,9.098400187212974e-05
4829,purse,9.053582471096888e-05
67,administrator,8.966650057118386e-05
905,carriage,8.965316374087706e-05
2791,hamburger,8.930066542234272e-05
115,aircraft,8.91778472578153e-05
3735,meadow,8.906987204682082e-05
843,camera,8.906125003704801e-05
4488,pike,8.807310950942338e-05
2158,estuary,8.804052049526945e-05
3815,mile,8.795475878287107e-05
6526,virus,8.732278365641832e-05
58,adaptation,8.729484397917986e-05
3952,mouth,8.718810568097979e-05
494,beak,8.70115909492597e-05
4434,personality,8.691401308169588e-05
6426,user,8.670597162563354e-05
4178,orange,8.657644502818584e-05
2092,encyclopedia,8.61522785271518e-05
2760,guitar,8.595663530286402e-05
5408,shed,8.594474638812244e-05
6331,trout,8.576240361435339e-05
1239,colt,8.522969437763095e-05
1048,chestnut,8.497521776007488e-05
5841,strawberry,8.467299630865455e-05
3241,ivory,8.452236215816811e-05
3693,mark,8.408532448811457e-05
6543,voice,8.404388063354418e-05
1557,cuckoo,8.402547973673791e-05
514,beef,8.342666842509061e-05
3988,name,8.303744834847748e-05
4099,nut,8.297016756841913e-05
4599,politician,8.294643339468166e-05
815,cabbage,8.290953701362014e-05
5272,scholar,8.288020762847736e-05
375,avalanche,8.194681140594184e-05
4105,oak,8.167911437340081e-05
2431,follower,8.165193867171183e-05
3421,lawyer,8.158951095538214e-05
3975,musician,8.14661179902032e-05
265,arch,8.02547438070178e-05
1395,cookie,8.025314309634268e-05
2217,experiment,8.015568892005831e-05
6012,tag,8.014354534680024e-05
5620,song,8.009459997992963e-05
3204,interpreter,8.002531103556976e-05
604,blog,7.972776802489534e-05
1421,corporal,7.9635668953415e-05
5119,rip,7.951133738970384e-05
4143,officer,7.94739171396941e-05
6699,wire,7.915060268715024e-05
860,cannon,7.913490117061883e-05
6411,unit,7.9127807111945e-05
1928,drawing,7.907511462690309e-05
4355,patient,7.902694051153958e-05
2302,feather,7.838230521883816e-05
1437,couch,7.837834709789604e-05
3242,jack,7.833294512238353e-05
52,activist,7.83096402301453e-05
1499,creator,7.809676026226953e-05
6268,trailer,7.777332939440385e-05
3658,mandolin,7.760666630929336e-05
2893,herb,7.754329999443144e-05
5762,star,7.731781806796789e-05
5044,researcher,7.728851778665558e-05
395,backpack,7.694176019867882e-05
3175,instrument,7.662190910195932e-05
6431,utility,7.66018929425627e-05
6215,tongue,7.646894664503634e-05
2350,filly,7.625247963005677e-05
5265,scent,7.619497773703188e-05
6252,trace,7.578657096019015e-05
2038,ego,7.508074486395344e-05
4085,novel,7.507960253860801e-05
5741,staff,7.505683606723323e-05
2009,ecology,7.476485188817605e-05
3473,liar,7.469715637853369e-05
2973,host,7.443731010425836e-05
3354,knight,7.439156615873799e-05
528,being,7.434741564793512e-05
3186,intellect,7.427767559420317e-05
4476,picnic,7.42061747587286e-05
2437,fool,7.354234548984095e-05
3498,lily,7.331646338570863e-05
2935,home,7.323802128667012e-05
2653,god,7.313022797461599e-05
2623,girl,7.307369378395379e-05
1146,clergyman,7.282258593477309e-05
4325,partner,7.191307668108493e-05
680,bowl,7.189990719780326e-05
3069,immortal,7.178541272878647e-05
2143,erection,7.170323806349188e-05
1209,coil,7.139891386032104e-05
1275,compass,7.136153726605698e-05
1366,container,7.134061888791621e-05
3959,mud,7.124019612092525e-05
31,accordion,7.10638050804846e-05
5192,sack,7.100575021468103e-05
2230,extension,7.063326484058052e-05
6573,walking,7.013484719209373e-05
5372,servant,7.011812704149634e-05
4245,oyster,6.999963079579175e-05
2104,engineer,6.993518036324531e-05
1713,derivative,6.967614899622276e-05
6328,trophy,6.967152876313776e-05
3337,king,6.962218321859837e-05
3511,link,6.941086758160964e-05
5843,stream,6.914335244800895e-05
4160,opera,6.91275272401981e-05
1717,description,6.91191598889418e-05
4980,refrigerator,6.902551831444725e-05
5421,ship,6.890887743793428e-05
4383,peanut,6.887963536428288e-05
6460,vector,6.882507295813411e-05
464,baseball,6.880859291413799e-05
3325,kidney,6.874543760204688e-05
6296,traveler,6.840144487796351e-05
5721,sprinter,6.830802885815501e-05
4150,olive,6.814763764850795e-05
713,breast,6.799388211220503e-05
722,bridge,6.776624650228769e-05
4320,part,6.75457704346627e-05
4271,pan,6.704908446408808e-05
5474,sign,6.624244997510687e-05
1338,conscience,6.622002547373995e-05
6798,zoology,6.59603756503202e-05
2725,green,6.566316005773842e-05
4168,opponent,6.536666478496045e-05
3654,manager,6.512971594929695e-05
4843,quarter,6.506632780656219e-05
4889,rainbow,6.468144420068711e-05
2915,hill,6.411654612747952e-05
5118,riot,6.385573942679912e-05
126,alarm,6.360623956425115e-05
588,bladder,6.334814679576084e-05
3063,image,6.332685006782413e-05
428,band,6.330091855488718e-05
6680,wildlife,6.329618190648034e-05
3367,laboratory,6.321600812952965e-05
770,building,6.311252218438312e-05
3258,jeep,6.291042518569157e-05
1036,cheese,6.290208693826571e-05
3980,mutation,6.276964995777234e-05
6635,weed,6.274254701565951e-05
4821,puppet,6.27205881755799e-05
6763,yard,6.203878001542762e-05
2313,fellow,6.201949872775003e-05
278,ark,6.193255103426054e-05
2391,flat,6.187566759763286e-05
1802,director,6.181842763908207e-05
3464,lesbian,6.17938203504309e-05
2874,hedge,6.14765303907916e-05
384,babe,6.130708788987249e-05
1981,dynamo,6.0963597206864506e-05
3239,item,6.075992132537067e-05
2463,form,6.074970224290155e-05
3066,imitation,6.060771920601837e-05
4049,nightingale,6.044796828064136e-05
4537,planet,6.011428195051849e-05
2366,fire,6.0051479522371665e-05
4344,pasture,5.993265222059563e-05
5109,ride,5.9802699979627505e-05
6150,throat,5.973903171252459e-05
5181,run,5.94041557633318e-05
4386,peasant,5.929924009251408e-05
5777,steak,5.919301838730462e-05
3187,intelligence,5.918544775340706e-05
4412,people,5.9167003200855106e-05
3803,microphone,5.916524969507009e-05
914,cartoon,5.911775951972231e-05
5708,sport,5.908163439016789e-05
2360,finger,5.889315434615128e-05
5253,scale,5.886774306418374e-05
160,alternative,5.8697878557723016e-05
784,burden,5.846909698448144e-05
6327,trooper,5.82946595386602e-05
486,battery,5.828248686157167e-05
4468,piano,5.826519918628037e-05
6482,verb,5.8152123528998345e-05
5755,stand,5.813194366055541e-05
1319,cone,5.7998324336949736e-05
4635,possession,5.7921872212318704e-05
2480,fountain,5.791886360384524e-05
6562,wagon,5.730635893996805e-05
1172,cloud,5.723418144043535e-05
6624,weapon,5.719816908822395e-05
6139,thistle,5.71679302083794e-05
1615,dairy,5.7160759752150625e-05
5002,relative,5.7140594435622916e-05
399,bacterium,5.7136341638397425e-05
6685,wind,5.698582390323281e-05
3970,museum,5.693875573342666e-05
427,banana,5.669008533004671e-05
5318,seat,5.663388583343476e-05
6724,word,5.6610664614709094e-05
5320,second,5.65926093258895e-05
2288,father,5.65827613172587e-05
2343,fighter,5.654634878737852e-05
2782,half,5.652384061249904e-05
3254,jaw,5.6493903684895486e-05
5032,repository,5.642775431624614e-05
984,chain,5.6378506997134537e-05
4437,pest,5.636205605696887e-05
2047,element,5.630166924674995e-05
4514,pioneer,5.630151281366125e-05
4185,ordinary,5.621057061944157e-05
4902,ranch,5.5825825256761163e-05
3292,jumper,5.575532486545853e-05
3942,motor,5.5736058129696175e-05
2564,garden,5.5577431339770555e-05
1764,dick,5.552445145440288e-05
152,almond,5.549777051783167e-05
5496,singer,5.540924030356109e-05
5177,ruler,5.5194879678310826e-05
6270,train,5.512352436198853e-05
2983,household,5.499862527358346e-05
5956,suspect,5.499686812981963e-05
6208,tomato,5.4957912652753294e-05
4257,page,5.493381104315631e-05
807,button,5.488385068019852e-05
5367,serial,5.486464579007588e-05
4629,porter,5.48517273273319e-05
3244,jacket,5.482207052409649e-05
1047,chest,5.480795880430378e-05
4473,picket,5.478323873830959e-05
2801,handle,5.472115662996657e-05
6575,wall,5.466021320899017e-05
81,advertisement,5.4553631343878806e-05
2927,hobby,5.440021413960494e-05
5190,sabre,5.43792120879516e-05
3327,kill,5.424066330306232e-05
5399,shape,5.358762791729532e-05
620,boat,5.3397623560158536e-05
2456,foreigner,5.332498039933853e-05
1865,doctor,5.30466168129351e-05
344,attachment,5.2687839342979714e-05
275,arena,5.2628183766501024e-05
671,boulder,5.239469464868307e-05
6666,white,5.2222665544832125e-05
1224,collection,5.210863673710264e-05
1227,collector,5.198720100452192e-05
3729,mattress,5.1969433116028085e-05
653,boot,5.191400123294443e-05
3074,implement,5.167645213077776e-05
1507,creek,5.152196899871342e-05
918,case,5.150887227500789e-05
2341,fig,5.14364437549375e-05
6632,website,5.119134584674612e-05
2708,graph,5.110841811983846e-05
6675,wife,5.1006602006964386e-05
4733,producer,5.0869904953287914e-05
5815,stock,5.086058808956295e-05
3567,loop,5.083188079879619e-05
1304,con,5.082024654257111e-05
3216,inventor,5.079984475742094e-05
6523,violin,5.072989370091818e-05
4503,pine,5.0726575864246115e-05
3280,journalist,5.067042002337985e-05
6311,triangle,5.0644768634811044e-05
5356,sensitive,5.051761036156677e-05
4480,piece,5.030768079450354e-05
559,bill,5.0199658289784566e-05
2520,fruit,4.9824324378278106e-05
276,argument,4.940538201481104e-05
2239,eyebrow,4.93130246468354e-05
3703,marsh,4.931166404276155e-05
6155,thumb,4.930550494464114e-05
3904,monk,4.9209957069251686e-05
4883,rail,4.908457776764408e-05
687,boy,4.9044901970773935e-05
6650,wetland,4.9012916861101985e-05
1574,curiosity,4.900394196738489e-05
6571,walk,4.8862821131478995e-05
444,bar,4.881694258074276e-05
776,bullet,4.8808054998517036e-05
4479,pie,4.877055107499473e-05
2897,hero,4.816862565348856e-05
4724,problem,4.80007438454777e-05
6092,tent,4.791690662386827e-05
3545,locality,4.777714275405742e-05
86,advocate,4.761529999086633e-05
2270,familiar,4.757753777084872e-05
3432,leap,4.753938992507756e-05
2873,hectare,4.7529687435599044e-05
4907,ranger,4.7442648792639375e-05
1611,dagger,4.73144646093715e-05
453,bark,4.728951898869127e-05
5517,skirt,4.72518295282498e-05
199,angle,4.6815348468953744e-05
6719,woodland,4.6663575631100684e-05
5112,riding,4.652360439649783e-05
2022,editor,4.650129267247394e-05
1567,cup,4.6285604184959084e-05
2876,heel,4.6191809815354645e-05
3152,innocent,4.5982596930116415e-05
1294,composite,4.596203507389873e-05
5866,stump,4.57190144516062e-05
4007,needle,4.56672023574356e-05
3709,mask,4.556392741505988e-05
3679,map,4.529773286776617e-05
3047,idea,4.50406878371723e-05
582,black,4.4994972995482385e-05
25,accident,4.4894626626046374e-05
5709,sportsman,4.488773629418574e-05
1383,controller,4.482434087549336e-05
301,artifact,4.480882125790231e-05
5212,salmon,4.4674630771623924e-05
5860,stud,4.4560511014424264e-05
5601,sole,4.449871994438581e-05
5702,sponge,4.443350189831108e-05
4584,poet,4.4215463276486844e-05
2713,grassland,4.418001844896935e-05
997,champion,4.416165393195115e-05
1264,common,4.403775164973922e-05
2754,guide,4.40322510257829e-05
5906,suitcase,4.3960040784440935e-05
2152,essence,4.3740281398640946e-05
5818,stole,4.350639574113302e-05
757,bucket,4.3461193854454905e-05
3572,lot,4.342804822954349e-05
1693,den,4.339678707765415e-05
4407,pennant,4.313128374633379e-05
4739,professor,4.307184644858353e-05
909,cart,4.3043430196121335e-05
5141,rod,4.297538544051349e-05
6717,wood,4.290437573217787e-05
5986,symbol,4.271180659998208e-05
5830,story,4.266405085218139e-05
4458,photograph,4.2597010178724304e-05
4183,orchid,4.2595384002197534e-05
2487,frame,4.243891089572571e-05
6634,wedge,4.2407355067553e-05
3316,kettle,4.2371295421617106e-05
1728,destroyer,4.2371095332782716e-05
939,catch,4.235291271470487e-05
4379,peach,4.2231509723933414e-05
5048,reservoir,4.172879198449664e-05
2881,helicopter,4.171920591033995e-05
6679,wilderness,4.165070640738122e-05
3791,meteor,4.149173037149012e-05
1166,closet,4.148543666815385e-05
1307,concept,4.145126877119765e-05
1954,dude,4.13962006859947e-05
