PROLIFIC_PID,subj_id,debrief,suppression,simulation,heuristic
62c396eed1893e06fdad4574,565,I tried to forget the the word and play as though I was playing with a clean slate. I probably wasn't too convincing but I tried. The guessing trial was very hard. I couldn't make heads or tails of how to find fakers.,1,1,0
59f232c71f4f55000108a0d6,564,I think the ones who knew deliberately chose incorrect letters faster and the ones who didn't took more time to deliberate between letters.,0,0,0
58d2cb10f5899100018a05b8,563,"I tried not to go to fast if the word appeared difficult. Trying to decide if others was pretending I used the same formula, if they went to fast I felt like they was pretending.",0,0,1
614dd04f946867282d817c11,563,"Not really any strategy, just watched what they were doing.",0,0,0
581649f0b434f0000184d2a9,561,"I tried to predict the same letters that I would normally predict. I learned that when people were taking their time to chose a letter, then they usually had no idea what the word was, if they were quicker they were pretending.",0,1,0
5c4ea6cc889752000156dd8e,560,"For pretending, I tried to pick letters that seemed like they may have fit while throwing in a correct vowel now and then or a common letter.  The most difficult about pretending was picking letters that someone else would go for without knowing what was next.  I tried to spot pretenders by watching them pick letters someone normally would not pick considering the possibilities remaining.  The person that went through vowels first fooled me, that is a normal strategy.",0,1,1
5d327e87ce28af0017ec788a,562,"I followed a pattern of first picking the letters R,S, and T and then picking vowels. I did this whether I knew or didn't know the word. I was looking for a similar pattern for the other players but I did not see it so it was a bit harder to tell.",0,0,1
62c4594a1393963551a572bb,559,"Nothing to much, just click on letters close but not the same.",0,0,0
623a3d1b72cde1824ccbc6d1,558,"i tried to think of other feasible good guesses and went with those first. The hardest part was having the letters populated in addition to being told on the previous screen. As for telling between players who pretended vs played normally, I watched for delays before choosing correcting letters as that sometimes indicated somebody was taking time to figure it out for real.",0,0,1
6276d97e209059496d37bf74,557,"My strategy was to think what I would have picked if I hadn't known the word, which was kind of easy because I had done rounds like this previously. The hardest part was not pretending I still didn't know it when it became obvious.  As for others, a big clue was the delay in choosing letters.  I think people choose quicker when they are pretending.",0,1,0
5fb7dd473afbb1033b491811,556,"I tried to start with vowels, and then moved on to other letters, trying to act like I did not know the word. It was difficult to pretend because I was not sure what letters I would really guess if I did not know the word. I tried to see how long it took the pretenders or real players, and if they were actually choosing random letters to try and fake me out or not.",0,0,1
58a43e029a17120001d910d5,555,"I had no strategy for any of it, and I did terrible at telling if the players were pretending. Disappointing.",0,0,0
62b9ab36ca3531cd0b400cb5,556,"It was difficult, but my strategy was to use vowels first.",0,0,1
60fdbd971aab70ac228ed016,554,PICKED ALL THE WRONG LETTERS FIRST,0,0,1
6117ae23774b3ff0f9e08052,553,"I would go between using RSTLNE (Wheel of Fortune) and using vowels, no really rhyme or reason between which one I chose I guess aside from how long the word was (if short, use vowels, if long use Wheel) -- Most difficult about pretending was resisting that method and not just going straight for what would get me the answer quickest - For telling who was pretending was hard, unless they guessed a letter wrong, especially a letter that wasn't a vowel or a really common letter (like M in strawberry), so that was a tossup",0,0,1
5f4e8db327d2a0098ef31aab,554,"My strategy for pretending involved trying to act out what I would be doing. I always would go for letters and from there I would start going through my head of what works and what doesn't. The most difficult thing about pretending was figuring out how fast I would actually work through the options in my head. When trying to find out if players played for real or not, I attempted to look out for similar things to what I did when I pretended.",0,1,1
60721a45b75cb8f4b00abd05,552,"I just tried to make any guesses that weren't the correct ones. It was difficult to not like *too* dumb. I was really bad at telling who played for real or not, so apparently not.",0,0,1
5dfdc45e617219a8e2e05c26,551,Usinv vowels first which is what players normally do. Then guessing letters around those vowels. The hard part was deciding how to guess the letters around those vowels. This is also how I judged to see who was pretending,0,0,1
623519c893eaebfcb0046e26,550,"I just pretended to play like I was actually playing, selecting the letters I would pick if I didn't know the word.  The most difficult thing was going slow enough.  I could tell pretenders because they either went very quickly or purposely chose letters that wouldn't work for the category. ",0,1,0
5ec403bb09d0e02a060bd5e6,549,"I just started with common-frequency letters as if I were playing normally, and tried to think of what words would be possible when a letter matched. I was really bad at guessing who was pretending or not, I might as well have chosen at random.",0,1,1
5ef246c6d2b9060809858e7e,547,"I had no strategy. There was nothing difficult about pretending, it was pretty straight forward. I just tried to use my best guess when deciding if the player was pretending or not. I had no strategy for it.",0,0,0
58742bf5d53c97000159df8c,545,"I just acted like I didn't know and played how I normally would have played by selecting the vowels first and then popular letter like r, s, l, t, n, etc. It was hard to tell apart who was pretending and who was playing normally. I felt like the longer they waited to pick letters, the more normally they were playing. It felt like they were really trying to think about what the word could be.",0,1,1
5e8cf14c0bec230b335e060d,544,"Using a couple vowels helped me pretend.  Pretending was most difficult, there is no specification, having already seen it, it was already comitted to memory.As far as telling who was pretending, I looked at letters they chose.",0,0,1
5ff94e71c59814230b0fb713,543,"I always start with vowels, so I just did that regardless. I couldn't tell if others were pretending. They played random.",0,0,1
5608a73fd7def20012b7389d,541,"I tried to begin by selecting vowels, and then selecting common letters. I also assessed players by whether they used common letters first, or letters that were in the word.",0,0,1
5b82247316aa4400016aa924,540,"I tried to hesitate and take my time and choose a few letters that were wrong when I was pretending that I didn't see the word.  It was kind of difficult to pretend.  When I was deciding with the players that were pretending or not, I went with my gut feeling when I watched them play.",0,0,1
5ea77b0161f86b151f475c8f,542,Just went with my gut,0,0,0
61096b18dc10f2a5fb0db48b,539,"My only strategy for pretending was to use the same process for the first few letters as I often do, R-S-T-L-N-E, and unless it should be obvious within the first two letters, to keep going with other letters. I could tell who pretended by how long it took them to complete a word or name if it should have been obvious to most after a few correct letters were chosen.",0,0,1
5484fd09fdf99b38dfb9645c,538,no,0,0,0
56b4b565b2de2a000d3316ba,537,"No I just tried to pretend I didn't know the word. It didn't seem to difficult. I feel like it was easy to figure out who was pretending because it seemed strategic, I'm not sure.",0,0,0
596bac33670f410001fe9c07,538,"I just choose the letters I would normally choose first when guessing, so i mainly choose vowels first then would choose other common letters such as s, n, t etc. The most difficult of pretending was having the patience to click on other letters to waste time even though I already knew what the word was.The players vs the pretenders, I just observed how quickly they made the right guesses and then I observed whether or not if the letters they guessed would be logical to guess if you didn't know the word and were still guessing what it was.",0,1,1
627e807715abf2361938fd68,536,"I tried to do it how I normally would, between other players it seemed the fake people clicked the a, e i, o, and u's but then figured it out right away.",0,1,0
62914a626c466a73029168fc,535,The strategy i used was delaying my response time.,0,0,1
5bbd033261968f0001f02bac,534,I tried to start with the same letters I would normally guess (vowels then whatever looked common). It was difficult to determine what I would have organically guessed past the vowels by what letters were there. People who looked like they were just waiting around for a long time then suddenly knew the word looked like they were pretending.,0,1,1
5edd7f96ca05b8a8b4eebeb4,532,My strategy was that I would purposely choose letters that I knew were not in the word. The most difficult part was trying to make it seem like it was real. And it was also difficult determining whether other players were doing the same thing,0,0,1
614fd56753386a7c522d5feb,528,"I looked to see if other players were guessing like I was, and determine if pretending or not. ",0,0,0
5e8b89d0afcb1606e761ef7f,526,I always chose e first when pretending as I think most people choose e first and them from there I tried to figure out how obvious or no any potential next letters were. I did not really have a strategy for discerning pretenders.,0,1,0
580d5d1f357e890001dd14ce,525,"My only strategy, which I thought a majority of people would use would be to start with the vowels and go from there.",0,0,1
603e370c5ed1c2db2c3bde24,523,"I tried to play like I normally would, but with intentionally getting some wrong to make it look natural. It was hard to pretend because sometimes I felt like I would just click random letters. I think it was easier to spot the pretenders, as some of them didnt deviate too far to throw me off.",0,1,1
57bfc1beef05670001ee84c2,522,I tried to tell if it seemed like the were avoiding the letters of the words on purpose. ,0,0,0
62a889993e01c9e01ee7066e,521,Strategy was to still pick from the more common consonants and vowels but not duplicating what was already in the word. The hardest part about pretending was that at some point the word became obvious (at least to me) and it would look silly to pick a letter that clearly had zero chance of being in the word. Pretenders would also never spend so long thinking. Honestly I couldn't believe how long it took that one player to get Dalai Lama but I guess some people don't know much lol,0,1,1
5f8461c7c4a37809c686303d,520,"My strategy was guessing the vowels first and then some random letters. The most difficult part about pretending was that I already knew the answer so I wondered how many times I had to try to fail to eventually guess the right answer. For telling between which player was real or fake, I saw that some used my tactic like using the vowels and they guessed it pretty fast so I knew it was fake.",0,1,1
5e059d2bb1fb05fd1f841142,518,I would delay selecting a letter and occasionally select one I knew was wrong. It was hard to decide how long to wait or how many correct or incorrect letters I should choose in a row and look realistic. I mainly looked at timing when considering other players.,0,1,1
62348f3b53e65a4bfb7acd8b,519,"My strategy was to use letters that are common in words and go from there, when letters are correct I would act like a normal person would trying to figure it out.  The most difficult part was guaging how smart I think I could be if I was not pretending.  How easy a word would be to figure out if I didn't know it.Telling between pretenders and those who played for real was very difficult, I could not figure out a good strategy for this.",0,1,1
607db957e9d570c7c2657b8d,519,I was simply unable to pretend - I'm a very honest person so I didn't even know how to pretend it.  I'm sorry. ,0,0,0
5f1091aa4bd173363a9700ec,517,My strategy was to play as if I didn't know the wordI think the hardest thing about pretending was knowing which letters to choose deliberately knowing they weren't the right ones,0,1,0
62bdfe451d380bec13a4a864,516,"I always go with ""A"" first, so I stuck with that even if I saw the word had A's in it. Then I went through the vowels because I know that's what many people do. I tried to spend time if the vowels didn't fill in much, but if it was super obvious I went quickly. I focused on the time it took and if they made moves that went against what I thought seemed like the ""obvious"" next step.",0,0,1
5d8793d36c53380015139da9,514,"I had no strategy, I just went with what felt right and what I felt most other people would do. The hardest part about pretending was that I did not want to make things too obvious. I did not have a strategy for telling which players were real or which were pretenders - I'm obviously very bad at discerning which is which. I guessed based on instinct.",0,1,0
5de7ccc24b7cf973d7b05bfb,511,Taking my time and making it seem like I was able to put the word together with a good guess. I tried to use the same strategy for pointing out the pretenders. ,0,0,1
62897d2024f826ea90b7efa1,507,"I thought about how I played the ones that I had on my text and answered what felt right.  Just guessed, really.",0,1,0
59296fb2e8a7ff000163f033,506,"I always go through vowels until I see two pop up, then go through common consonants.  I just did the same thing when pretending.  For the players, I noted if they did the same, or if they did something just totally odd",0,0,1
60ff3fd06ea4b3be502c9d5b,505,The most difficult thing about pretending to know the word was trying to think of other words with the same length. I could not tell who was pretending and who knew the word. ,0,0,1
5e7aca7dc679490b709c855c,503,I would just use random letters in-between the right letters until it was too obvious to guess incorrectly. ,0,1,1
5e861812b23b0a22ef59c4ee,501,"there is a point where the answer is obvious and if the person took too long to guess the obvious answer, i thought that meant they were pretending.The hardest part of pretending was guessing wrong letters. You have to really think about what letter it would make sense to guess, which is hard when you can really only think about the correct letters once you know the answer.",0,1,0
60e792f25e9ab875f9605cf5,500,"No, I just kinda played it the way I would have normally. ",0,1,0
5beccd423b6489000156596f,499,I tried not to answer the question too quickly. I tried to remember how hard of a time I had on my own. I just paid attention to how long they took to guess and how many turns. It was hard to pretend because I wanted to answer the question quickly and get it over with. ,0,1,0
57f2da5c6c19420001438d19,498,I tried to think if I would actually have gotten the word if I did not know it. Like I knew the fruit probably ended in berry but would not have gotten Taylor Swift quickly/,0,1,0
5b25e250a7cee100011d91fc,497,"My strategy was always to pick a vowel right away that actually isn't in the word. The most difficult thing about pretending was judging how difficult the word would be to guess for others. The players who guessed it too quickly were obvious, while some seemed to be clicking at random. ",0,1,1
5a8c2da3eea3d300016ea27c,496,try a few random letters first. how many tries they took,0,0,1
612274842d4805447451f87b,495,"While pretending to not know the word, I used the Wheel of Fortune method (rstlne) first. The most difficult part of pretending was timing it so that I didn't solve it all in one guess. When it came to guessing who was pretending or not, I watched their speed during the replay. If they answered really quick, I felt like they might be pretending.",0,0,1
5f58fbdfd613220ce947d61a,494,"I played the way I would normal play games like hangman or wordle. Start with common vowels like e or a first and then guess common constants like RSTN.  I would also look at the number of letters and think of common answers, especially with the states as there are only a few four-letter states in the US.",0,1,1
559385f5fdf99b78e49c58e9,493,"When pretending I tried to guess like I would normally by picking a common letter first, then which letter I would pick next based on what I revealed/didn't reveal. When guessing who was playing for real I tried to see if they used time to think and if their guesses made logical sense or not.",0,1,1
610272b792467ffae049b859,492,"I chose the letters in the same way that I did when I didn't know the word.It is hard pretending, because, without knowing how others play, you can only make mistakes on purpose or take extra time.The people that took too long or missed obvious letters and didn't know what the word was.  ",0,1,0
5d88f2f8cefb52001a83f1b2,490,I just tried to do what I would have done if I didn't know the word. ,0,1,0
62c6bffe9a805081f9569293,488,"I used the same letters that I would if I was blindly guessing for pretending.I was watching the letters, the speed between the letters and whether they input correct letters when the answer was almost completed.",0,1,0
58fd1e751178370001dd35bb,487,I did not have a strategy. I found to be most difficult was to not answer right away when I knew. Between the players was random  ,0,0,0
6110b8870ffa743ef020621c,486,"I didn't really have a strategy for pretending, and the players that pretended took the longest like they were thinking too hard about how to pretend",0,0,0
62bdad093f129a724c4dd7b2,485,"I just tried to forget what the word was. It was difficult because it's right in front of me. Telling between players seemed to be pretty random, but people took longer when it was obvious when they were pretending.",1,0,0
6108d6efa698e3dbe3b313d3,484,I didnt have any strategy. it was hard predicting pretenders and actual players,0,0,0
6163d3ea0d13c617bb46c99b,483,"I had no particular strategy for pretending; I probably didn't do very well.  I just did it randomly.  The most difficult part of pretending was making it seem like it wasn't random.  I didn't really have a strategy to discern if players were pretending, either; it was hard to determine.",0,0,1
59ff81fd5d06850001afeeab,482,"When pretending, I started like vowels like I usually would. Then randomized a bit on what letters I chose next. Trying to avoid subconsciously clicking the letters you know are correct while not trying too hard to look like you are avoiding them was the hardest part. With identifying pretenders, if someone seemed hesitant and then quickly guessed the word without many tries I assumed they were pretending. I also assumed someone that did not start with vowels was pretending since that is trying too hard to avoid a good strategy.",0,0,1
614ee5e28a2f0a07d4d639dd,482,I have no strategy. Just followed the rule.,0,0,0
5fadd628cd4e9e1c42dab969,480,I tried to start with the normal letters I would choose like going through most of the vowels. I also tried to take my time to make it look like I didn't know. It was hard trying to decide if I could pick a letter that was in the word or if that would seem too obvious. I thought players that solved it really quickly would probably be pretending and those that seemed to have picked odd letters too.,0,1,1
612eac9f6c232dc7efccc967,479,"i did not. pretending was very hard. I didn't have a strategy for my guessing either, it was random really i couldn't tell",0,0,0
6272eccadd98507271a651c7,477,NO,0,0,0
5f0a7dec44c42c19a6c9f6d9,478,I just did my best to follow instructions. It was sometimes hard to know if someone was pretending or not due to the accuracy and time they took. Those who took longer to choose letters appeared to be really trying.,0,0,0
5cbe04b4f429ff00159de30e,476,I convinced my mind to forget the word and play as if I didn't know.,1,0,0
5c9c3ae2d40ce20014233de6,474,Some pretenders dragged out how long they took before guessing,0,0,0
628494ff07588fd08c37117b,475,"For pretending I did not see the word, I always started off picking vowels because that's what I would've done if I hadn't seen the word because it makes the most sense to be successful. It was difficult pretending because I didn't know how to make it look like it was not obvious. It was somewhat easy to know who was pretending and who wasn't, based on how fast they figured the word out.",0,1,1
6108295fdd0270d7544b5a8a,475,"My strategy was to start by guessing the most common letters if the answer was not easy to tell (ie not something like a 4 letter state which there are not many options for). Then I tried to think if I would be able to guess it based on the available letters. The most difficult was to not try to overestimate my ability to figure it out without the hint. FOr figuring if a person was playing for real, I paid attention to how much time they took, if they made guesses that seemed sensible, etc.",0,1,1
5dfd077e3690bd03bfa91d48,473,NO STRATEGY,0,0,0
5bac1d9dc1155b0001175e55,472,I tried to imagine what letters I would've possibly chosen had I not been given the answer and then I played in that way.  The most difficult thing about pretending was trying to put the answer out of my head and behave naturally during the gameplay. The strategy that I attempted to use to determine if players were pretending or being normal was just to observe how natural the game felt as I watched their choices.,0,1,0
5ee4b29de1640f1bc85da97b,471,"I searched my memory for alternate answers and chose letters to pursue those, if any came to mind.  After that I looked for common letter groupings. I tried to estimate at what point I would have figured it out.  In guessing pretenders,  I watched the time they took to make the decisions and based my guess on if the timing felt natural to me.",0,1,1
6229dbd104c9cf8c397853cb,469,i tried to use the most common letters like rstn and then vowels,0,0,1
5d51ffd641a6aa0019ca73df,471,"I watched to see if they seemed to be deliberately going slower than normal, like when enough letters were guessed that the word should be obvious, they might have deliberately guessed the remaining letters slower than normal.  I myself also tried to slow myself down to look dumb.",0,0,1
62a8dffe33241f48b53d95c9,468,I would think of other words with the same amount of letters that fit that category and make it seem like I was thinking it was that even though I knew the real word. The hardest thing was making sure to take my time to simulate real human thought process. As far as distinguishing between real / pretenders I looked for the same strategies that I used which worked for the most part aside from a couple I got wrong.,0,1,1
57587b29713d8400061730e4,470,I took longer and chose different letters to pretend. The most difficult part was not choosing the letters that were in the word. Players who pretended were more likely to choose the letters in the word first as opposed to vowels and common letters. ,0,0,1
5fc1fd0f60e49e305afcc6a5,467,I tried thinking of words that had the same amount of letters and then as I slowly discovered the correct word I grew more confident in the speed that I entered the letters. ,0,0,1
6025b3681ff1521a3369dffe,465,no i didnt have any strategy. the most difficult was choosing what words to go with first and how i should put them into the order,0,0,0
62728f0c68b9ecf571a2dbd4,463,"Just from experience guessing vowels then t, r, s is what people normally do. It was hard to tell who was pretending as most people were following the strat I suggested above.",0,0,1
62b0ff84054c6ca32f481c65,463,I just tried to pick letters that weren't part of the word the most difficult part about pretending was try not to seem too fake... And how I can tell between players who pretended just by the way they just love letters and how quickly.,0,0,1
5d3a3fb79f1307000130bc0d,462,"My strategy for pretending I did not see the word was to guess common vowels such as ""A"" first off before regardless of whether it was in the word or not. The most difficult part about pretending was deciding when the word became obvious through the guesses to the audience, and when I could guess the word. My strategy for guessing players relied on the amount of time they took to think about guesses. ",0,1,1
5914b7b50a4b9d0001add64f,461,I just answered based on my gut feeling. ,0,0,0
60f6132952a37df66a042ef4,460,"I wouldn't really say I had a special strategy, just simply trying to put myself in the shoes of someone who was going in blind. I figure that vowels and then R, S, T, L and N are going to be the common guesses when you don't yet know the word, so those were my first guesses. The most difficult part was definitely figuring out when people would have the ""a-ha!"" moments where they went from just blindly guessing common letters to using context to make more educated guesses, and then when they would finally figure out the word and start filling it in. It's hard to imagine somebody else's process of discovery. Speed was a big thing I looked at. People playing genuinely will want a good score, so they're going to take more time to think it over, especially for a category like US states where your options are fairly limited and you can go over them in your head. Also, if someone was playing a little *too* badly, I figured they were probably pretending. I interpreted it as them being afraid of playing too well and ending up overcompensating. ",0,1,1
5e1f7b2a4c9b832b34e7c9d3,459,I selected vowels first because that felt like the most common way people go about solving these. It wasn't too difficult to pretend.,0,0,1
5e9a581b02672c0f77c9d04f,459,"For pretending, I intentionally made mistakes at the beginning but sped up once I got a few correct letters. The most difficult part was pacing yourself correctly speed-wise. For telling between pretenders and real players, some of them made obvious bad guesses when there were 1-2 letters left.",0,0,1
5f44c445cfb0a801244f652f,459,"not really, it was difficult for me to determine.",0,0,0
6293d03cbb8e035640e637a9,458,"When pretending, I tried to just play how I normally play online hangman. I guess vowels quickly, then S, T, and R, then whatever seems appropriate. I also do it all pretty quickly without much contemplation. This made it harder to tell if others were pretending, because it seemed that people took their time regardless of whether they were pretending or playing normally. When telling between between pretenders/non-pretenders, I just tried to look for anything suspicious, but I was clearly wrong a couple of times.",0,1,1
6090578fb2299eacaec32b7a,457,"I didn't have a strategy for figuring out if they were pretending or not, but I should've gone with ""whatever I think they're doing, choose the opposite of that."" I tried to play like how I normally would, with choosing the same letters at first every time. ",0,1,1
61452bbe86c21c0347085911,455,The difficult part was having to guess the correct letters without a clue,0,0,0
5d730a3cf37bfe0001ff031a,454,"I just tried to guess the most commonly-used letters first when I was pretending, and then trying to react normally based on what letters were revealed. To try to tell the pretenders from the real players, I looked at both the time it took them to make their choices and the likelihood of the letters they picked.",0,1,1
60a62be8b05e850a2a608d02,453,"I pressed the vowels first and took time to ""think"" after I pressed them. I saw a real player do a famous person extremely fast which was mind-boggling, but pretenders would usually start slow then speed up really fast.",0,0,1
62976e7114308ee7c69d10ae,453,"Use the usual RSTLNE until something caught, and try to pursue normally",0,0,1
5aeb8db38db5b00001ad8d26,451,"I played common vowels first, which seemed like a decent strategy. The most difficult thing about pretending was trying to put myself in the mindset of someone who is not necessarily as good at word games. I relied on the letters chosen and time taken to try and determine whether others were pretending or not (but that clearly wasn't a good strategy, since I got all five of those guesses wrong!)",0,1,1
5f0f18665f351603c353485f,450,I based it on the amount of time they took to find their word.,0,0,0
6276dbebeabfce0b6ad28951,448,"While i was pretending, i clicked the incorrect ones then waited for a while before clicking the correct ones and i then during the second part i watched the intervals in which the players clicked the correct and incorrect keys and sometimes the speed",0,0,1
