,subj_id,debrief,suppression,simulation,rules
71,9815bea,"I had no strategy besides not hitting all the hints first. I had a hard time telling the difference between players, so no strategy there. ",0,0,1
72,9806103,The only strategy I had for pretending to have no hints when I was playing was just to not really click on the ships right away and then when I did hit one I tried to click on the box going the wrong way instead of just sinking the ship right away. I really didn't have a strategy to deciding which player had hints and which didn't. It was honestly really hard to tell.,0,1,1
73,9795ef5,"The ones that seemed worse at the game were usually the ones who had hints. I tried to play normally, but its hard. You find yourself purposely selecting the wrong tiles more than if you didn't have the hints.  ",0,0,0
74,9786126,"I used the same method as I had done for the first couple of games where I made a diagonal line through the board, which is actually how I play this game normally. When trying to tell which person had hints, I tried to see where they seemed to magically guess where the next box of the ship was, after sinking the first box.",0,0,1
75,9775d32,not really other than looking to see if the person playing guessed the right 'direction' of the boat afrer getting one square correct.,0,0,0
76,9765c70,I chose squares not near another ship since I knew they wouldn't be next to each other and used the same strategy to try and identify the player with hints. ,0,0,1
77,9755589,No for both,0,0,0
78,9745fd1,"No strat for pretending. Telling players apart I was hideous at - I tried using timing and comparing what I did to what they did, but that didn't help. ",0,0,0
79,9745c9b,I tried to guess where I would click if I didnt have any hints. I had a hard time picking who did have hints ,0,1,0
80,9725e8c,Time they took and also how rehearsed it looked,0,0,0
81,97360ba,My strategy for pretending I had no hints was initially clicking in randomly spaced squares at the start of the game to find the first ship like I normally do. I watched or players making choices that weren't reasonable according the the game rules to tell between players with and without hints.,0,0,1
82,9716156,"It was difficult to pretend that I didn't know where the ships were. I tried to play like I normally would narrowing down the water by twos and then I tended to pick not the spot that a ship was a little over half the time when I was getting close. when picking who had hints, I had to watch some of them multiple times but there would just be something that felt ""weird"" about the patterns of those that had hints, like they were taking too long or changed a seeming pattern or seemed to try to not have a pattern at all. ",0,1,1
83,969608d,I tried all corners first both times,0,0,1
84,9685f16,gut feeling,0,0,0
85,9665f35,"It was a struggle to identify intention, but towards the end I realised that the player was pretending to take their time making decisions",0,0,0
86,9655d4e,No strategy.  Just guessing.,0,0,0
87,9645aa7,"I used the same method i did when i had no hints, my strategy remained the same. I probably save 1 or 2 clicks at a time knowing where they were though. Where there was a very long hesitancy to make a click or clear random clicks, i.e. filling a line when it would be clear that it was unnecessary due to size of the ships, this was what i looked for when judging.",0,0,0
88,9635de7,JUST LOOKED FOR THE OBVIOUS,0,0,0
89,9626093,I tried the method of prolonging my choices so that it gives the observer the impression that i put real thought into clicking onto certain boxes,0,1,1
90,9615fed,"No particular strategy for pretending I had no hints. Players who had hints generally played slower, thinking more about what moves they would make to make it look like they had no hints.",0,0,0
91,9605424,The person that was avoiding the boats the most was liable to have hints.,0,0,0
92,9595a91,"not really, just try not to obviously go for the ships",0,0,0
93,9585f15,I clicked randomly around the squares to find the shops even if I knew where they were.When people knew where the ships were they found the whole thing without making mistakes unlike when they didn't know.,0,0,1
94,9575ea0,It was thinking time that meant i went somewhere where I wouldn't go,0,0,0
95,9.57E+69,n0,0,0,0
96,955602c,I avoided revealing ships too quickly. Tried to determine which moves were illogical ie a ship could not be in that position.,0,0,1
97,9.55E+09,"I just went from top row left to right in order. Once a hit was detected I diverted horizontally first then vertically. I then avoided where ships sides would clash.For telling players apart I looked for quicker play, but found this unreliable.",0,0,1
98,9525ead,nope,0,0,0
99,9515490,I just played as if I would with no hints. This seems the easiest way to do the challenge,0,1,0
100,9505ab9,"I tried to apply a strategy for the last 3 rounds. I looked at whether the players kept on clicking after 2 sunk clicks or whether they stopped. The idea being that if the person stopped after 2 they knew it was the 2 tile wide battleship, but if they continued clicking they didn't know if it was the 2 or 3 tile wide one.",0,0,0
101,9495c60,I tried to click very randomly at first and then not click on the correct one too soon.I think a player with hints wouldn't have clicked on the correct one straight after the first correct one,0,0,1
102,948604d,Pretending I had no hints - abiding by my original strategy. Observing - no strategy.,0,0,1
103,9476129,"I tried to do more time when I had clues, the players who have clues try to evade the places with clues",0,0,1
104,946616f,"none, seeing that I had the answers just try to confuse them a little more, players with clues try to confuse others.",0,0,0
105,94556f1,"Just tried to use intuition. If they fooled me, they fooled me.",0,0,0
106,9445d92,"I tried to take a logical approach to choosing the squares irregardless of the hints. In terms of choosing between players with and without hints, I felt that those who correctly chose the second square too quickly or regularly after identifying the first square of a ship were more likely to have had hints",0,0,1
107,94356f7,Hit the corners first. If they looked like they knew right way which way the ship was going after the first hit.,0,0,1
108,9.43E+41,My strategy for pretending was to intentionally click in areas I knew weren't ships often. I didn't want to solve the puzzle too quickly. But to play as if I didn't know.My strategy for identifying the players that could see the ships was to see if they were making clicks in a way to solve the puzzle with as little clicks as possible. Being strategic with their picks instead of just clicking to make it look they didn't know where the ships were. Its hard to explain.,0,0,1
109,9395621,tried to see if there was any deliberate clicking,0,0,0
110,93860d3,play like it wasnt there and i voted for those who made dumb or predictable moves,0,1,0
111,9375ec3,no strategies because I wanted it to seem more naturalfor guessing I could usually tell which players looked like they were trying to make mistakes ,0,1,0
112,9385c66,"I played the game the way I normally would, I hit the corners, centers of each edge, center of the board and radiating corner squares in the center. If that pattern happened to hit one of the ships I would pick the square I would normally think the ship was in to sink it and then choose the right one. I don't tend to take a long time thinking when I play battleship so I didn't pretend to do that here.",0,1,0
113,9355c4f,For pretending I would select in a pattern but in an area that did not have the ships and eventually I would have to select the ships and play without intentionally avoiding.For the players who had hints you could tell they were avoiding the ships when they found a square leaving the correct square available before they had no choice but to select it.,0,0,1
114,9345e1b,I tried to judge the amount of time the player took to make their choices and judged the slower one to be the player without the hints. ,0,0,0
115,9335d67,"When I had hints, I tried to just pretend like the hints weren't there. When I was trying to figure out which player had hints, I tried to figure out whether they were naturally progressing through the board.",0,0,0
116,93260cf,"My strategy was to be a little random and focus on colours not the crosses. To tell between the ones with hints they were mainly the ones that did it most methodically, apart from one which made it look so hard that he had to be faking it.",1,0,1
117,9325b59,"Either they identified the ships very quickly, or they looked like they were systematically avoiding them (rather than e.g. a structured search strategy)",0,0,0
118,9315f2b,My strategy at first without hints was to first click the four corners so when i was tasked to play as if i had no hints i still applied the four corners first strategy ,0,0,1
119,9305ef0,For pretending i had no hints i would click close to and around the ships and to identify id look at where i would go if i didnt know and match that ip,0,0,1
120,9295ee0,1. Maybe choosing random squares2. The speed of selecting and fairly certain section of squares,0,0,1
121,9.29E+34,Pretending I had no hints - just playing as I would normally playPlayers with and without hints - wildly unsuccessful but I thought players with hints would appear more hestitant.,0,1,0
122,9276111,"I was trying to stretch out my clicks and purposely avoided getting multiple ships right away. For identifying, on the other hand, at first, I thought the ones that had clicked on more spaces were the ones with the hints because I thought they were trying to be more subtle, but I realized that wasn't the case and usually the player that got the answer quicker was the one with the hints. ",0,0,1
123,9265d93,"I tried to play as though I couldn't see the marked spaces. As for identifying a player with hints, I just used my gut instinct. ",0,0,0
124,9.26E+10,No strategy for either,0,0,0
125,9245e7f,"I just tried to follow my own normal strategy, selecting all four corner squares and going from there. I had no strategy for telling in between players with and without hints, it was difficult!",0,0,1
126,9225f48,"I was deliberately hitting the target, but not often, I had no strategy for talking between players.",0,0,1
127,9205a13,Yes I tried to make it look like I was clicking random squares. I just guessed on the players. ,0,0,1
128,9195f1f,not really,0,0,0
129,9185eaa,I deliberately didn't click on the linking square straight away and tried to add randomness in. I could easily tell players that had hints as they weren't random enough with their clicking and quickly found the joining squares.,0,0,1
130,917614c,I made sure to make a couple of mistakes to look like I had a strategy. I then looked out for this same strategy when looking for players who had hints,0,0,1
131,9.16E+38,For pretending I had no hints I tried to mimic the strategy I had in the previous rounds and then to react logically to a red square.FOr working out which player had hints I tried to ignore where they clicked first and looked at whether or not they looked as if they were thinking logically once they hit a red square.,0,1,1
132,9166108,"1. using the same strategy for each board: starting in the middle and working my way out. 2. not really a strategy for this one other than watching where their clinics were, the speed and order",0,0,1
133,9.15E+93,"When I was playing I intentionally tried to avoid initially clicking on a square with a battleship. When I was telling between the players I was watching I checked to see if they would select the areas around a battleship, the ones that avoided the area seems more suspicious.",0,0,1
134,9136108,"i had no strategy in pretending i had no hint.i sometimes randomly went round before clicking on the hintsagain,seems the you designed the experiment such that player 1 was the only one with no hints.thats how what i figured out",0,0,1
135,9126147,"to pretend you don't have clues just select a few extra boxes, it is a small advantage to have clues because you save a few boxes, no, he had no strategy.",0,0,1
136,9115bc9,"i could tell by the speed they completed it, the faster the player the more legit I thought it was",0,0,0
137,9106136,The one who figured in less moves,0,0,0
138,9105d6d,I kept to my original formula of starting at the top and clicking on every other square. I felt that some players that had hints didn't complete their hits straight away - I don't know anyone that would play battleships like that! ,0,0,1
139,9095c54,no strategy what so ever except to get the unclicked spaces to 10 or below,0,0,1
140,9086157,"Played like i would normally for the first by like following a pattern and clicking the connecting bits and that,Looking for patterns and weird clicks to fill out board and that.",0,1,1
141,9035c08,I just chose blocks that I would have picked anyway without having any hints. Sometimes the players seemed to deliberately avoid the crossed squares which they wouldn't have done if they were playing without hints.,0,1,0
142,9025d82,I just tried looking at how they chose their spots.,0,0,0
143,9.01E+69,"I didn't have a strategy for pretending I had no hints, that was actually kind of difficult. I could tell if other players had hints by the way they would avoid continuing with obvious squares, whereas players without hints would always try squares around the hits",0,0,0
144,9005f91,played it like i did on the first challenge,0,0,0
145,89959dc,"I tried to play with similar strategies I would if I was playing a normal game, and tried to miss often immediately after a hit if it was ambiguous as to where the ship was.  I also pretended to confuse a two for a three or vice-versa, as there was no indication when you sunk a ship, so it was plausible to confuse these two.  When I played a regular game afterward, I found I was actually much better at the game than I thought as I was pretending not to have hints.For telling whether other players had hints, I watched without looking at the solved board above to see if their moves made sense compared to what I might do in that situation.  This didn't tend to work in the beginning, so I also went with my intuition a bit, which seemed to make me more accurate in my judgments.",0,1,1
146,89760ed,"To click more squares than necessary and try to be random with the clicking and after a few wrong clicks, click on one of the ships. This is what i tried to look at when guessing between players also.",0,0,1
147,8965ec7,"I literally ignored the hints and just did the scatter pattern that I always use; start in the middle, then the corners of the middle and so on, testing the surrounding squares when I had a hit",1,0,1
148,8955b79,"No real strategy for pretending I had no hints, other than trying not to take too long in thinking about making a move, or making it look too hard or easy. The same rules helped me correctly guess most of the time the other players pretending not to have hints",0,0,1
149,89460f8,no,0,0,0
150,8935b22,I deliberately made a few false moves initially rather than make it appear as though I was 'lucky' when I pretended I had no hints and I thought my 'strategy' of trying to look out for one or two deliberately false moves at the outset as a telltale sign the player had received hints would work well for the next part but it didn't at all! I was terrible at this game.,0,0,1
151,8906074,No i did not have any strategy,0,0,0
152,8895b2a,I tried to do it naturally by picking random squares but that was really hard. I looked at where they were clicking and if it looked random.,0,0,0
153,8885f09,not really,0,0,0
154,8866095,I tried to ignore the hints and play how I would have played if I had no hints. I tried to imagine which squares would make the most sense to choose by following the rules of the game (boats cannot be side to side). Also if players discovered the three boats too fast I thought these were the players who had seen hints. ,0,1,0
155,8845f78,speed and random clicking of blocks,0,0,0
156,8835d88,"I followed a pattern I would've used if the hints weren't there. For telling other players apart, I looked to see if they followed any sort of pattern and the speed in which they completed the grid.",0,1,1
157,88255b7,"Not really. I would click squares that were possible once I found a ship, even though I knew I was wrong. Also, I took my time for some moves.",0,1,1
158,8815e2a,"I tried to think about how I usually act, where I would start.",0,1,0
159,8805efb,The first couple picked out a correct hit right away so that was a dead giveaway. I also tried to pay attention to speed. I tried when I was doing it myself to not click right away on a correct hit and dance around a bit.,0,0,1
160,879587d,"I played with a regular pattern at a fairly even pace. Slow playing seemed to occur more often with players with hints, as well as better than normal luck",0,0,1
161,87859f8,"I clicked randomly when pretending I had no hints at first, then tried to act like I was guessing the direction of a ship when i had a hit.Towards the end of the last round I think the players without hints took far longer than the players with hints so that would be my main strategy to identify them if continuing that game.",0,1,1
162,877605f,Random selection of tiles and then when i hit a tile i would try both sides to maintain the mystery of having hints.,0,0,1
163,87660b9,"I tried to divide the board up into blocks of two and work around that, with regards to determining if players had hints or not I tried to see if there were obvious selections that looked suspicious to me",0,0,1
164,8755afd,i just played as if I had no hints,0,1,0
165,8735f83,Not really for either part of the survey,0,0,0
166,8746144,In my won judgment.,0,0,0
167,8715d8c,"If I came across a ship, I pretended I did not know which side of the ship the other ship was and pressed the wrong box first so it looked like I didn't have a hint!If a player clicked straight on a ship then it gave away that they had a hint! ",0,1,1
168,870594a,I just played the game as I normally would have without the hintsTelling players apart I chose the players who opted for squares which would have been illegal as having hints,0,1,0
169,86958d0,"I tried to not make too many correct first guesses and tried to stick to a method of uncovering squares in a dispersed pattern. I looked for other players that were making too many correct guesses and then choosing random squares to cover their tracks, to see if they had hints.",0,0,1
170,868572f,"While pretending, I tried to squint slightly to try and avoid seeing the crosses. When telling between players, I decided based on whether the moves were those I wold play in the same situation (if I had no hints).",1,0,0
171,8685ef6,"My strategy was to try and forget the hints and just play as I would normally. When telling between players, I tried to see how many wrong moves they made and how quickly they managed to find the red squares.",1,0,0
172,8675d9b,"I would try to use the same moves in every game. Start in the middle, click all of the corners, pretend I don't know which direction the ship is. I just tried to look out for my tactics in other players.",0,1,1
173,8665bc6,I tried to click on squares that I thought you may click on if you didn't have hints so it looked like I had none.  I looked to see if they used a similar strategy to me to work out if they had hint or not.,0,1,0
174,8635a46,be random and fail occasionally. and if a player knew too quickly and didn't fail i assumed they knew. ,0,0,1
175,8625be6,"In earlier rounds, I noticed that players who had hints seemed to stall by picking blank squares, which I kept in mind for predicting  later rounds.",0,0,0
176,8595ec3,no this was hard and i got more wrong than right.,0,0,0
177,85860bc,"Random guessing for the start, purposefully getting some wrong, and then when you have a red cell/hit, you select some wrong ones around it. The players that didn't have hints often used a strategy of making a pattern or starting with B2, D2, B4 and D4 or something similar. The ones with hints tried to avoid this and started in corners or something else. The ones with hints also took longer and pressed more cells, as they were no longer trying to maximise the number of unselected cells.",0,0,1
178,8575d7a,I looked at what they did before they had found a ship and if it looked like just a pattern or if it was just random. ,0,0,0
179,85660bb,No strategy just used my intuition,0,0,0
180,85560c0,"No I didn't have a strategy, I just went about how i would normally play. the players who had the hints took longer to choose a block that wasn't the hint. ",0,1,0
181,85460c1,"I tried to distribute my picks randomly across the board. If the player made initial picks on the grid that was symmetrical, I guessed that they had hints.",0,0,1
182,8525c3c,Used a standard grid search that I would use with no hints. Seemed like people with hints tried not to hit the ships.,0,0,1
183,8516100,I just tried my best to play how I would if I did not see the hints. When trying to decide if others had hints I looked to see if they were following a pattern like I do.,0,1,0
184,850615e,"I tried to think ""okay how do I usually play?"". As for telling between players, I looked to see if there was carelessness in their playing (almost seemingly trying to not get the hits on purpose) Or if there seemed to be a strategy being used (for players playing without hints).",0,1,0
185,849610c,I had no strategy. I wasn't sure of how to actually play the game until my last round. I have no previous experience playing battleship. ,0,0,0
186,8486100,I tried clicking some squares more quickly than others so it looked like I was testing the waters/thinking it out. For telling between players with and without hints I tried seeing how quickly they would click each square and how much time they spent thinking in between clicking squares,0,0,1
187,8.48E+90,No strategy for pretending I didn't have hints.I tried to see who seemed like they were avoiding clicking on the boats and who took longer.,0,0,0
188,8435643,I use a pattern. I tried t use it even when I had hints.I tried time and pattern use - neither worked.,0,0,1
189,84358cd,No I had no strategy. No I had no strategy just used intuition. ,0,0,0
190,8446111,"To pretend I would try and pause after hitting a ship to make it look like I was thinking about it, and then also miss the ship in the wrong direction. I also kept the same strategy I used when I didn't have any hints. To tell the difference I would recognize the reaction time after a ship was hit. Usually, if the person knew where the ships were they would spend less time choosing their next target than someone who didn't have hints. ",0,1,1
191,8415cda,"No I didn't have a strategy at all.  I just kind of played it off like I didn't know where the ships were.  As far as knowing with other players I don't really have any strategy with that either.  It was more like if they seemed a bit slower, then I knew they were doing it on purpose.",0,1,0
192,8405d82,"I tried to play as I would normally, by clicking on squares in a set pattern close to the middle (not corners) that I thought maximized my chance of finding a ship.As for telling players with and without hints, sometimes players made ""mistakes""--that is, based on the rules of the game, it shouldn't be possible for a ship to be placed there. I chalked that up to a player having hints and playing carelessly. ",0,1,1
193,8395b05,I just picked from the corners how and worked my way inside. How I normally would play. For telling between players it was hard. I was not good at guessing those lol.,0,1,1
194,8385a89,it seemed to take longer when the player knew as you felt like you had to purposely not hit the grid straight away when it could have been luck,0,0,0
195,8375d6e,"I spaced out the squares I checked so that it would appear like I was trying to win. In terms of telling players apart, I looked for those that seemed to intentionally not reveal certain squares. In other words, those that looked like the were avoiding the ships to drag the game out.",0,0,1
196,8365dab,More systematic play tended to have hints,0,0,0
197,8355ff8,use a patternif someone used a pattern like me I assumed they had hints,0,0,0
198,8346036,No i just kind fo guessed,0,0,0
199,8345c50,"My strategy was trying to make the decisions I would make if I couldn't see them.  When trying to tell the difference between the players with and without hints, I tried to see which was making bad decisions on purpose.",0,1,0
200,8326104,I just went about playing like I would if they weren't there. When telling between players with and without hints I tried to see if they were making illogical clicks.,0,1,0
201,8315fe5,I worked in diagonals towards the hints.,0,0,1
202,8305cfe,"My strategy for pretending I had no hints was to just click on the squares that made it look like I was being careful with my choices. When telling between players with and without hints, I just tried to reason as to which player made moves that looked like they were deliberately trying to avoid the correct squares or making moves that made no sense.",0,0,1
203,829612b,"I had a strategy for pretending I had no hints. I would remember how i behaved when trying to find ships and do that. When trying to tell which player had hints, I focused on how they fond the 3 space submarine, because usually people behave a certain way when finding or searching for the submarine.",0,1,0
204,8285747,"Pretending the boats weren't there for a while, and then being aware of where they were to finish up.",0,0,0
205,8275db3,I tried to block  out the hints and work out where they should be placed.I tried to work out who was doing a completely wrong move to work out if they were fooling me,1,0,0
206,826606b,I didnt really have a strategy. I kind of just went with it and guessed based on how many points the player had left.,0,0,0
207,8245cda,I just clicked around but after watching the last part I realize now when you miss that many clicks in a row it looks fishy.  I did awful in the last part. ,0,0,0
208,82358a4,I did not have a strategy.,0,0,0
209,82260fd,i just looked at the overall pattern of the plays,0,0,0
210,8215e4f,Not particularly. I thought that people who got the ships too easily had hints.,0,0,0
211,820583b,I tried to think about how the ships could by next to each other and couldn't,0,1,0
